排名,作者,论文篇数,被引频次,国际合作论文篇数
1,彭静(理),20,50,0
2,冯育强,13,47,0
3,王灵君,7,13,0
4,杨芬,7,15,2
5,张传洲,6,1,0
6,陈娟,5,29,0
7,贾世会,5,12,0
8,彭顺金,5,56,0
9,喻敏,5,4,0
10,余敏,5,4,0
11,何敏,5,224,1
12,陈贵词,4,46,0
13,许超,4,2,0
14,李汉林,4,2,2
15,张青(理),4,55,0
16,张青(国),4,55,0
17,张海军,4,67,4
18,唐秋华,4,7,0
19,马娅婕,3,26,1
20,陈红祥,3,12,0
21,章政,3,16,0
22,李明(男),3,7,0
23,李明(女),3,7,0
24,曾国伟,3,14,0
25,彭茹,3,2,0
26,季玲玲,3,4,0
27,周瑜,3,12,0
28,何晓霞,3,4,0
29,陈华,2,5,0
30,谢凤繁,2,1,0
31,程杨,2,13,0
32,王玉华,2,1,0
33,王文波,2,0,0
34,李玉姣,2,2,0
35,曲峰林,2,17,0
36,张永,2,55,0
37,张婷,2,2,0
38,张勇,2,55,0
39,张仁刚,2,1,0
40,夏绪辉,2,0,0
41,周怡,2,9,2
42,叶红雨,2,6,0
43,刘春梅,2,0,0
44,丁玲,2,6,0
45,马建清,1,3,0
46,陈霞,1,2,0
47,陈曦,1,1,0
48,郑华升,1,0,0
49,邵亮,1,0,0
50,邢远秀,1,0,0
51,赵雷,1,11,0
52,赵磊,1,11,0
53,赵刚(材),1,2,1
54,赵刚(机),1,2,1
55,袁洁,1,8,0
56,蒋更平,1,0,1
57,甘章华,1,1,0
58,王红鸿,1,5,1
59,王涛(机),1,6,0
60,王涛(城),1,6,0
61,王涛(医),1,6,0
62,王洪红,1,5,1
63,涂俐兰,1,0,0
64,杨宏,1,0,0
65,李艳军,1,1,0
66,李曦,1,4,0
67,李德宜,1,0,0
68,朱思聪,1,0,0
69,徐麦容,1,1,0
70,尹水仿,1,0,0
71,宋硕,1,0,0
72,姜翠香,1,3,0
73,员美娟,1,8,0
74,吴传菊,1,2,0
75,卢志红,1,1,0
76,刘娟,1,1,0
77,余长春,1,17,0
